"codice_1_livello","label_1_livello_it","label_1_livello_en","def_1_livello_it","def_1_livello_en"
"cities","Città o Zone densamente popolate","Cities (or Densely populated areas)","'Città o Zone densamente popolate': se almeno il 50% della popolazione ricade in uno o più 'Agglomerati ad alta densità (Urban centre)'","'Cities (or Densely populated areas)' — small spatial units that have at least 50 % of their population in 'Urban centres - High-density clusters'"
"not-classified","Non Classificato","Not Classified","Unità spaziale locale o aggregato di celle contigue non classificati","Unclassified local spatial unit or cluster of contiguous cells"
"rural-areas","Zone rurali o Zone scarsamente popolate","Rural areas (or Thinly populated areas)","'Zone rurali o Zone scarsamente popolate': se più del 50% della popolazione vive in 'Celle rurali della griglia'","'Rural areas (or Thinly populated areas)' — small spatial units that have more than 50 % of their population in 'Rural grid cells - Mostly low-density cells'"
"rural-grid-cells","Celle rurali della griglia","Rural grid cells - Mostly low-density cells","'Celle rurali della griglia': celle della griglia regolare Geostat (griglia a maglia regolare - 1km, 10km, 100km - a fini statistici che ricopre l'intero territorio europeo, contenente la popolazione residente al censimento della popolazione e la percentuale di superfice ricoperta da acqua in ciascuna cella) da 1 km2 che non rientrano negli 'Agglomerati ad alta densità' o negli 'Agglomerati urbani'.","Rural grid cells (or mostly low-density cells) — grid cells that are not identified as urban centres or as urban
clusters."
"towns-and-semi-dense-areas","Piccole città e sobborghi o Zone a densità intermedia di popolazione","Towns and semi-dense areas (or Intermediate density areas)","'Piccole città e sobborghi o Zone a densità intermedia di popolazione': se meno del 50% della popolazione ricade in 'Agglomerati ad alta densità (Urban centre)' ma almeno il 50% della popolazione ricade in 'Agglomerati urbani (Urban cluster)'","'Towns and semi-dense areas (or Intermediate density areas)' — small spatial units that have less than 50 % of their population in urban centres and no more than 50 % of their population in 'Rural grid cells - Mostly low-density cells''"
"urban-centres","Agglomerati ad alta densità (Urban centre)","Urban centres - High-density clusters","Agglomerato ad alta densità (Urban centre): aggregato di celle della griglia regolare Geostat (griglia a maglia regolare - 1km, 10km, 100km - a fini statistici che ricopre l'intero territorio europeo, contenente la popolazione residente al censimento della popolazione e la percentuale di superfice ricoperta da acqua in ciascuna cella), contigue secondo i soli punti cardinali (4), dove ciascuna cella ha una densità di almeno 1.500 abitanti per km2 e, nell'aggregato, presentano almeno 50mila abitanti prima del riempimento delle 'lacune'.","An urban centre (high-density cluster) — cluster of contiguous grid cells of 1 km² (using four-point contiguity, in other words, excluding diagonals) with a population density of at least 1 500 inhabitants per km²
        and collectively a minimum population of 50 000 inhabitants before gap-filling; if needed, cells that are at least
        50 % built-up may be added"
"urban-clusters","Agglomerati urbani (Urban cluster)","Urban clusters - Moderate density clusters","Agglomerato urbano (Urban cluster): aggregato di celle contigue, (anche per le sole diagonali, per un totale di 8 celle vicine), ciascuna con una densità di almeno 300 abitanti per km2 e che, nell'aggregato, hanno almeno 5mila abitanti.","An urban cluster (moderate-density cluster) — a cluster of contiguous grid cells of 1 km² (using eight-point
contiguity, in other words, including diagonals) with a population density of at least 300 inhabitants per km²
and a minimum population of 5 000 inhabitants. In a final step, the grid cells identified as an urban centre are
removed from the urban cluster."
