"codice_1_livello","label_1_livello_ita","label_1_livello_en","def_1_livello_ita","def_1_livello_en"
"0 - Not classified","Non classificata","Not classified","Per la direttiva sulle acque di balneazione, il valore dello stato di qualità '0 - Not classified' (Non classificata).","For Bathing Water Directive, the value of quality status '0 - Not classified'"
"1 - Excellent","Eccellente","Excellent","Per la direttiva sulle acque di balneazione, il valore dello stato di qualità '1 - Excellent' (Eccellente).","For Bathing Water Directive, the value of quality status '1 - Excellent'"
"2 - Good","Buona","Good","Per la direttiva sulle acque di balneazione, il valore dello stato di qualità '2 - Good' (Buona).","For Bathing Water Directive, the value of quality status '2 - Good'"
"3 - Sufficient","Sufficiente","Sufficient","Per la direttiva sulle acque di balneazione, il valore dello stato di qualità '3 - Sufficient' (Sufficiente).","For Bathing Water Directive, the value of quality status '3 - Sufficient'"
"3 - Good or Sufficient","Buona o Sufficiente","Good or Sufficient","Per la direttiva sulle acque di balneazione, il valore dello stato di qualità '3 - Good or Sufficient' (Buona o Sufficiente).","For Bathing Water Directive, the value of quality status '3 - Good or Sufficient'"
"4 - Poor","Scarsa","Poor","Per la direttiva sulle acque di balneazione, il valore dello stato di qualità '4 - Poor' (Scarsa).","For Bathing Water Directive, the value of quality status '4 - Poor'"
